STATE/UT,DISTRICT,YEAR,MURDER,CULPABLE HOMICIDE,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,DOWRY DEATHS,ASSAULT ON WOMEN,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,,,,,
KERALA,TOTAL,2014,367,84,1347,222,71,869,3452,4700,5820,366,6091,28,4367,257,4919,,,,,
MADHYA PRADESH,TOTAL,2014,2274,141,5076,7833,105,1969,12110,29244,2018,610,1888,733,9609,429,6451,,,,,
MAHARASHTRA,TOTAL,2014,2670,171,3438,3793,885,9466,17171,56283,8148,1958,9959,279,10001,1575,7696,,,,,
MANIPUR,TOTAL,2014,96,5,75,182,0,7,75,1001,101,58,99,1,98,0,41,,,,,
MEGHALAYA,TOTAL,2014,159,12,118,179,56,97,146,857,8,61,172,1,105,54,42,,,,,
MIZORAM,TOTAL,2014,42,6,120,7,8,6,470,852,0,18,61,0,97,29,8,,,,,
NAGALAND,TOTAL,2014,58,3,30,37,8,38,54,418,16,9,56,0,16,1,3,,,,,
ODISHA,TOTAL,2014,1450,32,1978,3073,484,1828,4082,9410,1866,485,2246,441,5543,379,3114,,,,,
PUNJAB,TOTAL,2014,767,98,981,1550,32,157,2856,5067,0,295,3712,90,1113,35,1681,,,,,
RAJASTHAN,TOTAL,2014,1637,81,3759,5671,64,1301,6379,29095,536,657,21191,408,5999,18,15905,,,,,
SIKKIM,TOTAL,2014,12,2,47,20,1,13,112,126,81,10,37,0,34,3,5,,,,,
TAMIL NADU,TOTAL,2014,1805,50,455,1746,101,1969,5266,11969,2995,242,4536,95,1102,229,2103,,,,,
TRIPURA,TOTAL,2014,140,3,239,126,1,43,219,369,92,38,145,33,492,11,702,,,,,
UTTAR PRADESH,TOTAL,2014,5150,1412,3467,12361,294,3920,6921,48380,6513,4074,10636,2469,8605,29,10471,,,,,
UTTARAKHAND,TOTAL,2014,218,38,270,691,19,155,323,1737,466,135,390,38,343,4,301,,,,,
WEST BENGAL,TOTAL,2014,2370,359,3409,7285,143,606,359,22915,5521,2028,7239,504,5846,546,23564,,,,,
A & N ISLANDS,TOTAL,2014,8,4,32,22,0,2,64,45,10,6,71,3,41,5,14,,,,,
CHANDIGARH,TOTAL,2014,24,6,59,187,6,65,134,1260,33,23,247,2,87,2,141,,,,,
D & N HAVELI,TOTAL,2014,4,2,5,14,0,2,15,38,6,1,22,0,2,1,6,,,,,
DAMAN & DIU,TOTAL,2014,7,0,2,10,0,5,21,31,4,1,38,0,3,0,1,,,,,
DELHI,TOTAL,2014,586,58,2096,7143,82,6464,10309,78753,160,676,4601,153,4322,1361,3173,,,,,
LAKSHADWEEP,TOTAL,2014,0,0,1,0,0,0,10,15,9,2,0,0,1,2,0,,,,,
PUDUCHERRY,TOTAL,2014,25,3,10,13,3,6,61,424,39,7,59,1,32,8,4,,,,,
ANDHRA PRADESH,TOTAL,2015,2404,132,1341,1131,268,597,3741,12787,3908,863,7364,174,4616,2200,6121,,,,,
ARUNACHAL PRADESH,TOTAL,2015,78,14,105,133,22,113,259,367,82,35,111,0,101,2,66,,,,,
ASSAM,TOTAL,2015,1651,93,1700,6539,545,1167,4420,13169,8516,1728,3774,216,4293,111,11225,,,,,
BIHAR,TOTAL,2015,5015,193,1183,7234,1648,2821,2862,15811,41532,2900,7556,1100,198,96,3645,,,,,
CHHATTISGARH,TOTAL,2015,1467,64,1787,1245,239,669,2563,5061,5656,278,1622,89,1868,53,620,,,,,
GOA,TOTAL,2015,39,14,93,38,25,33,137,512,733,34,119,0,150,34,19,,,,,
GUJARAT,TOTAL,2015,2656,77,812,2159,1460,1543,2323,9346,12968,1869,2389,12,1886,73,4133,,,,,
HARYANA,TOTAL,2015,1755,71,1146,1208,543,1517,2869,6845,6241,654,2007,243,434,90,3525,,,,,
HIMACHAL PRADESH,TOTAL,2015,228,9,299,131,5,14,256,460,2003,84,270,2,1343,58,226,,,,,
JAMMU & KASHMIR,TOTAL,2015,285,30,329,842,7,138,547,2012,6139,109,611,6,844,175,400,,,,,
JHARKHAND,TOTAL,2015,1673,77,1233,1250,458,427,287,3017,2773,486,2219,267,5112,10,1654,,,,,
KARNATAKA,TOTAL,2015,3329,106,1115,1348,856,2054,2921,9578,22709,464,5945,254,3987,154,2732,,,,,
KERALA,TOTAL,2015,733,143,1422,374,285,851,1521,4110,24965,380,4518,8,8949,267,3668,,,,,
MADHYA PRADESH,TOTAL,2015,5016,235,6250,4145,905,2852,5072,14118,14479,703,2591,664,11713,390,5281,,,,,
MAHARASHTRA,TOTAL,2015,5494,263,5188,4423,3743,9515,8560,32103,45787,2460,10427,268,84,1119,7640,,,,,
MANIPUR,TOTAL,2015,62,0,33,84,0,0,9,191,31,11,74,0,95,2,39,,,,,
MEGHALAYA,TOTAL,2015,140,4,104,252,45,93,98,464,2,23,111,1,75,20,44,,,,,
MIZORAM,TOTAL,2015,35,11,68,24,4,13,353,817,1,22,63,0,8,2,9,,,,,
NAGALAND,TOTAL,2015,106,5,35,98,7,60,48,586,84,26,69,0,6499,9,4,,,,,
ODISHA,TOTAL,2015,2103,54,2681,2351,1829,2801,2924,7801,8208,736,2939,356,1123,472,3605,,,,,
PUNJAB,TOTAL,2015,1319,149,991,1168,76,266,1417,3950,0,352,5182,85,4813,27,1583,,,,,
RAJASTHAN,TOTAL,2015,2239,76,2766,2501,228,1747,2786,9436,2119,198,5823,463,21,9,14383,,,,,
SIKKIM,TOTAL,2015,18,8,7,23,0,11,41,107,15,4,19,1,1163,2,2,,,,,
TAMIL NADU,TOTAL,2015,4030,121,529,1825,476,2527,3169,11933,11817,288,5418,65,3608,20,1900,,,,,
TRIPURA,TOTAL,2015,215,2,220,133,7,22,119,207,133,39,86,28,352,6,501,,,,,
UTTAR PRADESH,TOTAL,2015,13479,3675,5369,24858,1762,7344,3883,20163,56667,7225,27443,2335,7885,11,8660,,,,,
UTTARAKHAND,TOTAL,2015,250,41,282,324,61,162,257,1255,674,133,340,54,318,12,407,,,,,
WEST BENGAL,TOTAL,2015,3447,573,1347,5726,484,722,206,11156,11073,1557,6407,498,5069,455,20163,,,,,
A & N ISLANDS,TOTAL,2015,19,0,32,9,0,4,38,30,68,1,11,0,57,5,14,,,,,
CHANDIGARH,TOTAL,2015,38,10,92,84,40,171,93,599,692,30,382,5,76,10,126,,,,,
D & N HAVELI,TOTAL,2015,9,2,8,7,0,6,5,51,56,12,5,1,5,0,2,,,,,
DAMAN & DIU,TOTAL,2015,5,0,4,16,7,15,22,48,70,3,51,0,7,0,3,,,,,
DELHI,TOTAL,2015,964,60,2177,780,306,6088,2337,13701,16038,307,1529,122,5367,1492,3521,,,,,
LAKSHADWEEP,TOTAL,2015,0,0,0,0,0,0,4,0,4,0,0,0,6,1,2,,,,,
PUDUCHERRY,TOTAL,2015,100,5,10,35,5,4,52,442,494,4,74,1,33,10,0,,,,,
ANDHRA PRADESH,TOTAL,2016,1123,83,994,917,63,315,4405,12740,657,764,4877,193,4829,1831,6461,,,,,
ARUNACHAL PRADESH,TOTAL,2016,46,6,92,112,10,63,222,510,8,21,107,1,109,10,50,,,,,
ASSAM,TOTAL,2016,1149,34,1779,6126,156,940,4886,12955,1671,1767,4171,157,3378,34,9321,,,,,
BIHAR,TOTAL,2016,2581,150,1008,7324,349,1410,4511,22228,11617,1361,5889,987,324,167,3794,,,,,
CHHATTISGARH,TOTAL,2016,957,37,1626,2071,60,379,3209,5450,652,139,1068,84,1770,101,622,,,,,
GOA,TOTAL,2016,30,12,61,106,7,14,168,463,117,39,141,2,143,32,23,,,,,
GUJARAT,TOTAL,2016,1120,73,982,2784,323,1155,4384,13791,1659,1330,1693,12,1224,59,3732,,,,,
HARYANA,TOTAL,2016,1057,42,1187,3932,177,734,6937,21741,2844,1184,3155,260,1860,124,3313,,,,,
HIMACHAL PRADESH,TOTAL,2016,101,3,252,290,3,11,555,480,395,119,346,3,410,49,214,,,,,
JAMMU & KASHMIR,TOTAL,2016,142,22,256,810,6,59,1232,1820,3410,78,538,6,1235,153,342,,,,,
JHARKHAND,TOTAL,2016,1514,31,1109,1309,210,551,1406,7285,1721,292,2254,278,667,13,1002,,,,,
KARNATAKA,TOTAL,2016,1573,77,1655,2916,329,2157,5987,20687,6263,395,7117,234,5260,160,2556,,,,,
KERALA,TOTAL,2016,305,132,1656,241,71,908,2579,3936,5089,274,4623,25,4029,328,3455,,,,,
MADHYA PRADESH,TOTAL,2016,2004,136,4882,7123,125,1602,10806,28663,1665,498,1957,629,8717,358,6264,,,,,
MAHARASHTRA,TOTAL,2016,2299,184,4189,9333,656,6030,14834,59097,7898,2036,9792,248,11396,924,7215,,,,,
MANIPUR,TOTAL,2016,78,4,55,145,1,15,69,801,119,18,88,0,65,5,29,,,,,
MEGHALAYA,TOTAL,2016,108,5,190,156,31,87,219,871,1,63,197,0,68,17,26,,,,,
MIZORAM,TOTAL,2016,29,8,23,6,6,4,678,961,3,31,71,0,71,1,19,,,,,
NAGALAND,TOTAL,2016,36,14,26,91,2,32,105,478,7,22,57,1,14,8,3,,,,,
ODISHA,TOTAL,2016,1328,16,1983,3046,456,2012,4004,9044,1914,449,3197,397,8252,437,2781,,,,,
PUNJAB,TOTAL,2016,771,120,838,1591,43,147,2976,5982,0,285,3947,80,1025,10,1568,,,,,
RAJASTHAN,TOTAL,2016,1551,81,3656,5299,66,970,5301,27406,293,406,18602,462,4839,15,13811,,,,,
SIKKIM,TOTAL,2016,17,1,92,12,0,5,76,93,12,6,52,0,34,11,2,,,,,
TAMIL NADU,TOTAL,2016,1603,36,319,1223,109,1680,4535,12128,2002,122,3093,58,854,27,1256,,,,,
TRIPURA,TOTAL,2016,145,2,207,139,1,22,142,244,78,30,79,19,214,1,430,,,,,
UTTAR PRADESH,TOTAL,2016,4889,1272,4816,15898,284,4502,7503,56550,8018,3912,10553,2473,11335,35,11156,,,,,
UTTARAKHAND,TOTAL,2016,194,29,336,790,17,128,418,1823,481,161,888,57,344,3,392,,,,,
WEST BENGAL,TOTAL,2016,2044,392,1110,6045,115,472,276,19902,2691,1646,6893,535,4177,449,19302,,,,,
A & N ISLANDS,TOTAL,2016,14,1,30,26,0,5,58,64,8,5,76,0,46,2,7,,,,,
CHANDIGARH,TOTAL,2016,26,6,68,180,5,54,141,918,40,22,188,4,76,13,122,,,,,
D & N HAVELI,TOTAL,2016,5,0,14,10,3,1,22,29,9,6,13,0,1,1,6,,,,,
DAMAN & DIU,TOTAL,2016,4,1,12,21,1,2,20,42,9,3,21,0,4,2,8,,,,,
DELHI,TOTAL,2016,528,54,2155,6619,46,4761,14307,130928,79,599,5396,162,4165,918,3877,,,,,
LAKSHADWEEP,TOTAL,2016,0,0,5,0,0,0,1,8,0,0,1,0,1,1,2,,,,,
PUDUCHERRY,TOTAL,2016,33,2,6,15,2,8,40,536,33,14,77,0,43,3,15,,,,,
ANDHRA PRADESH,TOTAL,2017,1054,202,988,778,58,340,4386,13303,510,780,4377,152,5129,1998,7156,,,,,
ARUNACHAL PRADESH,TOTAL,2017,79,7,59,63,6,58,210,581,20,15,64,0,97,5,56,,,,,
ASSAM,TOTAL,2017,1144,32,1772,5259,154,1092,4658,14298,1246,2164,3734,171,3569,108,9782,,,,,
BIHAR,TOTAL,2017,2712,111,589,6409,317,1555,4659,26707,11465,1157,4029,1080,197,1,3376,,,,,
CHHATTISGARH,TOTAL,2017,919,32,1908,2020,69,356,3541,6727,664,164,958,74,1899,144,582,,,,,
GOA,TOTAL,2017,31,9,76,67,2,27,184,468,121,42,86,1,134,31,21,,,,,
GUJARAT,TOTAL,2017,981,71,474,1877,300,1244,4368,13464,1738,978,1963,9,1058,17,3223,,,,,
HARYANA,TOTAL,2017,972,52,1011,1225,187,544,6850,24947,2217,1391,2315,245,2031,179,3326,,,,,
HIMACHAL PRADESH,TOTAL,2017,86,8,248,316,3,8,548,594,338,133,267,3,397,52,191,,,,,
JAMMU & KASHMIR,TOTAL,2017,152,24,294,871,2,56,1348,1841,1481,73,321,8,1417,41,377,,,,,
JHARKHAND,TOTAL,2017,1487,40,914,953,177,526,1631,8841,1791,332,1920,248,748,104,998,,,,,
KARNATAKA,TOTAL,2017,1384,80,546,2676,304,2152,6237,21211,5377,532,5840,206,5763,212,2332,,,,,
KERALA,TOTAL,2017,253,89,1633,168,48,586,1880,2740,4188,187,2852,12,4413,421,2856,,,,,
MADHYA PRADESH,TOTAL,2017,1908,152,5562,7339,95,1581,10613,31043,1741,482,1634,632,9252,277,6099,,,,,
MAHARASHTRA,TOTAL,2017,1570,234,1213,5093,503,3496,9016,61162,6418,874,3508,233,9392,919,6584,,,,,
MANIPUR,TOTAL,2017,63,9,40,80,1,8,90,785,109,28,136,0,66,8,19,,,,,
MEGHALAYA,TOTAL,2017,12,1,48,13,9,14,16,80,5,3,19,1,88,21,20,,,,,
MIZORAM,TOTAL,2017,21,5,25,2,0,5,564,931,2,17,55,0,64,2,20,,,,,
NAGALAND,TOTAL,2017,36,2,10,58,4,30,81,386,5,19,27,0,12,0,3,,,,,
ODISHA,TOTAL,2017,1214,22,1893,2220,423,1787,3579,6928,2285,414,2056,326,9132,490,2525,,,,,
PUNJAB,TOTAL,2017,609,108,456,973,26,116,2792,6311,1,252,1998,68,933,22,1199,,,,,
RAJASTHAN,TOTAL,2017,1473,103,3305,3234,44,972,5022,27573,345,443,12645,457,4883,24,11508,,,,,
SIKKIM,TOTAL,2017,13,1,17,65,0,3,77,79,2,12,18,0,21,7,5,,,,,
TAMIL NADU,TOTAL,2017,1560,51,283,848,100,1841,4751,15422,1935,160,2751,48,744,9,984,,,,,
TRIPURA,TOTAL,2017,124,3,95,111,4,17,176,272,125,24,59,33,225,9,348,,,,,
UTTAR PRADESH,TOTAL,2017,4185,1214,4164,18040,240,3857,8974,56166,8781,5180,8379,2524,12607,91,12653,,,,,
UTTARAKHAND,TOTAL,2017,128,29,319,351,10,180,336,1593,514,154,258,60,435,4,394,,,,,
WEST BENGAL,TOTAL,2017,2001,343,1084,3827,66,369,258,17012,2067,1619,7308,499,3832,448,16800,,,,,
A & N ISLANDS,TOTAL,2017,9,0,13,30,4,8,70,48,7,0,17,1,38,11,4,,,,,
CHANDIGARH,TOTAL,2017,25,4,65,177,10,54,181,1460,38,18,72,1,100,12,121,,,,,
D & N HAVELI,TOTAL,2017,3,1,1,14,4,4,24,38,9,4,14,0,3,0,4,,,,,
DAMAN & DIU,TOTAL,2017,6,0,7,14,0,1,22,59,7,6,67,0,6,1,5,,,,,
DELHI,TOTAL,2017,487,45,1229,5598,36,3147,9828,173996,50,393,2886,120,2874,619,2735,,,,,
LAKSHADWEEP,TOTAL,2017,0,0,0,0,0,1,3,18,1,0,0,0,0,0,2,,,,,
PUDUCHERRY,TOTAL,2017,25,3,7,0,4,18,18,59,3,0,14,1,22,3,2,,,,,
ANDHRA PRADESH,TOTAL,2018,935,266,971,855,51,252,3302,11066,561,652,4684,140,4445,1802,6831,,,,,
ARUNACHAL PRADESH,TOTAL,2018,62,8,67,96,5,63,176,623,20,30,74,0,103,12,60,,,,,
ASSAM,TOTAL,2018,1241,34,1648,6149,156,1501,4507,15800,1158,2295,4703,173,4180,171,11136,,,,,
BIHAR,TOTAL,2018,2854,110,636,8705,265,1686,4527,30474,10073,795,5492,1107,262,30,2539,,,,,
CHHATTISGARH,TOTAL,2018,5092,418,3322,15805,477,3502,12512,57963,11812,3772,14953,79,1854,184,503,,,,,
GOA,TOTAL,2018,29,4,61,77,3,18,144,502,93,52,104,0,125,26,9,,,,,
GUJARAT,TOTAL,2018,1068,77,552,1759,333,1458,4093,12930,1894,818,2432,9,1208,12,2923,,,,,
HARYANA,TOTAL,2018,1104,46,1296,2015,194,502,7771,28969,2683,1614,1962,216,2671,192,4152,,,,,
HIMACHAL PRADESH,TOTAL,2018,99,7,344,424,0,9,635,715,403,120,302,4,513,78,183,,,,,
JAMMU & KASHMIR,TOTAL,2018,178,23,316,980,9,78,1315,1852,1423,65,338,8,1597,25,325,,,,,
JHARKHAND,TOTAL,2018,1712,63,1090,1017,152,557,1714,8762,1782,353,3003,252,1378,37,1032,,,,,
KARNATAKA,TOTAL,2018,1334,86,492,2841,246,2024,5565,19737,4747,492,5592,200,5204,138,2053,,,,,
KERALA,TOTAL,2018,230,69,1542,163,46,582,1891,2553,3521,224,3064,17,4544,461,2046,,,,,
MADHYA PRADESH,TOTAL,2018,1879,131,5433,8306,86,1361,9951,30096,1347,489,1319,547,8790,270,4159,,,,,
MAHARASHTRA,TOTAL,2018,1675,286,1376,6243,627,4715,9271,82290,7983,1012,4376,200,10835,1074,6862,,,,,
MANIPUR,TOTAL,2018,52,5,52,87,0,6,71,899,79,24,88,0,56,8,14,,,,,
MEGHALAYA,TOTAL,2018,11,1,40,31,6,11,18,103,1,1,20,1,95,16,18,,,,,
MIZORAM,TOTAL,2018,27,3,50,1,1,5,459,721,0,17,32,0,67,1,6,,,,,
NAGALAND,TOTAL,2018,14,2,8,13,0,4,35,150,10,4,20,0,10,5,3,,,,,
ODISHA,TOTAL,2018,1306,7,862,3364,446,1843,3345,6920,1976,312,1959,372,9973,506,1984,,,,,
PUNJAB,TOTAL,2018,619,137,752,1184,41,120,2753,6364,0,303,3235,67,956,19,1470,,,,,
RAJASTHAN,TOTAL,2018,1508,77,4335,3838,73,1022,5196,28875,392,387,13474,404,5249,34,12250,,,,,
SIKKIM,TOTAL,2018,12,3,16,71,0,8,77,33,3,6,19,1,23,5,1,,,,,
TAMIL NADU,TOTAL,2018,1569,55,331,843,100,2295,4516,17570,2240,138,3061,55,814,14,789,,,,,
TRIPURA,TOTAL,2018,137,2,97,128,10,25,209,372,256,18,94,18,165,6,303,,,,,
UTTAR PRADESH,TOTAL,2018,3884,1317,3865,20095,128,3043,8061,51642,8685,5777,9215,2444,12555,17,14233,,,,,
UTTARAKHAND,TOTAL,2018,153,34,401,331,4,118,296,1538,480,61,265,63,548,8,622,,,,,
WEST BENGAL,TOTAL,2018,1933,367,1069,4057,56,291,217,13665,1728,1539,6808,444,3399,391,16951,,,,,
A & N ISLANDS,TOTAL,2018,11,3,30,35,4,2,62,69,6,5,17,6,35,4,4,,,,,
CHANDIGARH,TOTAL,2018,20,3,86,196,5,58,194,1298,54,14,145,6,100,3,93,,,,,
D & N HAVELI,TOTAL,2018,7,2,7,6,3,1,21,23,5,8,18,0,6,2,1,,,,,
DAMAN & DIU,TOTAL,2018,5,2,3,29,0,3,28,49,2,4,17,0,5,1,4,,,,,
DELHI,TOTAL,2018,513,77,1215,5651,24,2444,4147,195688,23,333,2625,153,2705,552,3416,,,,,
LAKSHADWEEP,TOTAL,2018,1,0,2,0,0,0,0,8,2,0,0,0,0,1,1,,,,,
PUDUCHERRY,TOTAL,2018,29,1,0,34,4,58,74,622,27,4,43,0,60,9,8,,,,,
ANDHRA PRADESH,TOTAL,2019,870,183,1086,760,40,310,3857,11301,492,932,5720,112,4444,1892,7851,,,,,
ARUNACHAL PRADESH,TOTAL,2019,60,8,63,85,15,76,163,489,60,18,99,1,80,6,54,,,,,
ASSAM,TOTAL,2019,1235,54,1773,6303,193,1944,4945,16478,1033,2570,5887,156,4619,385,11943,,,,,
BIHAR,TOTAL,2019,3025,56,692,8975,376,2332,4513,34335,7155,1101,5488,1120,312,11,2397,,,,,
CHHATTISGARH,TOTAL,2019,913,32,1036,2551,45,439,3788,7110,615,148,975,76,1316,232,732,,,,,
GOA,TOTAL,2019,33,2,72,53,3,11,124,515,103,31,89,1,119,37,9,,,,,
GUJARAT,TOTAL,2019,973,86,528,1587,202,1021,3524,12937,1353,513,2655,9,1048,16,3619,,,,,
HARYANA,TOTAL,2019,1137,50,1480,1944,153,620,7733,25792,2268,1563,2250,248,2581,173,4867,,,,,
HIMACHAL PRADESH,TOTAL,2019,70,19,359,418,1,12,451,475,372,149,323,4,498,72,228,,,,,
JAMMU & KASHMIR,TOTAL,2019,117,17,221,777,1,73,1228,1915,1018,41,283,8,1440,15,347,,,,,
JHARKHAND,TOTAL,2019,1626,66,1416,1285,133,666,1748,10441,2207,351,2316,299,1646,7,1426,,,,,
KARNATAKA,TOTAL,2019,1314,75,505,2883,225,1865,5157,18840,4107,443,5254,194,4937,107,2472,,,,,
KERALA,TOTAL,2019,243,76,1584,239,70,478,1731,2295,3001,138,3623,8,4507,435,2970,,,,,
MADHYA PRADESH,TOTAL,2019,1795,155,2485,9631,82,1290,9661,29270,1110,612,1564,550,5585,174,5496,,,,,
MAHARASHTRA,TOTAL,2019,1623,223,1500,6595,498,5193,9476,75963,6448,1005,4616,196,10472,1074,8430,,,,,
MANIPUR,TOTAL,2019,56,10,36,61,7,2,37,877,69,18,101,0,59,7,15,,,,,
MEGHALAYA,TOTAL,2019,15,0,48,15,9,11,13,129,0,1,18,3,96,18,23,,,,,
MIZORAM,TOTAL,2019,22,6,42,5,0,7,646,1057,2,34,65,0,35,0,5,,,,,
NAGALAND,TOTAL,2019,25,2,8,52,1,28,100,378,1,27,39,0,8,1,0,,,,,
ODISHA,TOTAL,2019,1287,5,1291,4190,355,2113,3688,8218,1873,455,2762,342,11308,536,2739,,,,,
PUNJAB,TOTAL,2019,617,160,922,1386,20,87,3056,6869,0,267,2781,69,944,35,1595,,,,,
RAJASTHAN,TOTAL,2019,1659,114,5997,4869,103,1421,7182,40815,392,487,17160,452,8802,69,18432,,,,,
SIKKIM,TOTAL,2019,17,2,11,51,2,3,57,32,34,4,25,0,21,2,1,,,,,
TAMIL NADU,TOTAL,2019,1745,68,362,700,113,2444,4392,15684,1722,154,2788,28,803,7,781,,,,,
TRIPURA,TOTAL,2019,144,7,88,138,8,21,195,502,171,42,168,38,153,5,451,,,,,
UTTAR PRADESH,TOTAL,2019,3650,1241,2931,15884,114,2042,7982,45839,5571,5391,8233,2410,11988,42,18304,,,,,
UTTARAKHAND,TOTAL,2019,136,41,403,377,14,137,307,1328,436,121,216,57,475,10,644,,,,,
WEST BENGAL,TOTAL,2019,1933,367,1069,4057,56,291,217,13665,1728,1539,6808,444,3399,391,16951,,,,,
A & N ISLANDS,TOTAL,2019,13,0,13,20,0,0,38,32,3,6,8,0,25,3,1,,,,,
CHANDIGARH,TOTAL,2019,26,1,112,167,4,33,125,908,46,10,112,6,66,15,177,,,,,
D & N HAVELI,TOTAL,2019,7,0,0,8,0,3,18,23,11,3,19,3,3,0,3,,,,,
DAMAN & DIU,TOTAL,2019,6,0,4,25,0,6,32,64,1,6,18,2,5,3,4,,,,,
DELHI,TOTAL,2019,521,79,1253,5551,15,1956,3026,245985,23,305,2860,116,2355,456,3792,,,,,
LAKSHADWEEP,TOTAL,2019,0,0,0,0,0,0,0,19,12,0,0,0,5,8,0,,,,,
PUDUCHERRY,TOTAL,2019,29,1,10,9,3,20,43,484,15,4,51,0,23,0,8,,,,,
ANDHRA PRADESH,TOTAL,2020,853,137,1095,595,39,237,3386,9508,431,852,4776,111,4886,2342,6546,,,,,
ARUNACHAL PRADESH,TOTAL,2020,45,4,60,56,7,48,140,395,10,25,84,0,73,3,69,,,,,
ASSAM,TOTAL,2020,1131,45,1657,4574,198,1577,4500,14391,829,2284,5495,148,4642,90,11408,,,,,
BIHAR,TOTAL,2020,3076,89,766,6473,209,1829,3956,31276,9282,586,4253,1046,584,6,1935,,,,,
CHHATTISGARH,TOTAL,2020,972,41,1210,1938,84,458,3652,6040,1019,168,1052,71,1461,279,641,,,,,
GOA,TOTAL,2020,34,3,60,33,2,13,109,398,40,29,98,0,67,35,8,,,,,
GUJARAT,TOTAL,2020,978,114,484,1027,137,491,2698,9087,1083,407,1980,6,846,17,3345,,,,,
HARYANA,TOTAL,2020,1143,52,1373,1195,150,657,6953,20657,2467,1472,2852,251,2339,183,4119,,,,,
HIMACHAL PRADESH,TOTAL,2020,91,10,329,336,2,8,275,345,410,92,285,1,538,88,259,,,,,
JAMMU & KASHMIR,TOTAL,2020,1592,37,1321,1097,118,652,1631,9470,2707,381,1864,9,1744,35,349,,,,,
JHARKHAND,TOTAL,2020,1331,72,504,2143,193,1354,4191,13871,4553,386,3905,275,1358,6,857,,,,,
KARNATAKA,TOTAL,2020,244,70,494,201,51,386,1212,1639,2774,85,5763,176,4751,70,2055,,,,,
KERALA,TOTAL,2020,2101,164,2339,7158,62,994,8288,23716,1240,472,1719,6,3890,442,2707,,,,,
MADHYA PRADESH,TOTAL,2020,1629,196,1291,4494,392,2998,7505,39259,7955,802,3403,608,5378,200,5540,,,,,
MAHARASHTRA,TOTAL,2020,46,1,32,33,0,3,57,659,60,18,104,197,9965,969,6729,,,,,
MANIPUR,TOTAL,2020,13,0,16,8,3,10,24,77,1,6,38,1,61,8,7,,,,,
MEGHALAYA,TOTAL,2020,28,6,33,3,1,8,421,676,1,25,81,1,86,16,17,,,,,
MIZORAM,TOTAL,2020,25,4,4,14,0,23,71,386,0,17,46,0,26,3,7,,,,,
NAGALAND,TOTAL,2020,1397,4,1142,3757,281,1647,3982,7999,1972,430,2518,1,7,2,2,,,,,
ODISHA,TOTAL,2020,694,127,461,1137,36,87,2678,5787,0,239,2298,320,12605,615,3659,,,,,
PUNJAB,TOTAL,2020,1719,96,5310,3873,76,1155,5828,28695,342,357,12228,63,731,28,1271,,,,,
RAJASTHAN,TOTAL,2020,11,2,12,32,0,4,27,29,1,14,17,479,8661,85,13765,,,,,
SIKKIM,TOTAL,2020,1661,72,389,589,128,2023,4275,12492,2122,141,2109,0,18,0,1,,,,,
TAMIL NADU,TOTAL,2020,114,1,79,103,3,4,133,353,83,35,140,40,892,31,689,,,,,
TRIPURA,TOTAL,2020,3631,1405,2696,12228,107,1545,6133,30984,5976,4328,6679,23,115,3,356,,,,,
UTTAR PRADESH,TOTAL,2020,111,22,327,204,1,87,238,918,515,126,143,2274,9864,28,14454,,,,,
UTTARAKHAND,TOTAL,2020,1948,284,1128,6394,52,318,96,9242,933,1503,6225,65,474,43,668,,,,,
WEST BENGAL,TOTAL,2020,5,1,2,6,1,0,24,25,1,3,15,522,2488,446,19962,,,,,
A & N ISLANDS,TOTAL,2020,22,5,60,113,1,23,78,614,31,8,124,0,15,3,2,,,,,
CHANDIGARH,TOTAL,2020,7,0,1,5,2,4,10,24,5,0,3,1,42,4,96,,,,,
D & N HAVELI,TOTAL,2020,6,2,3,14,0,3,14,23,0,1,16,0,2,1,1,,,,,
DAMAN & DIU,TOTAL,2020,472,58,997,3756,9,1963,2199,177439,689,224,2424,1,4,2,3,,,,,
DELHI,TOTAL,2020,149,32,243,747,5,70,1136,2064,782,48,281,110,1840,416,2557,,,,,
LAKSHADWEEP,TOTAL,2020,0,0,3,1,0,0,0,9,0,3,0,0,3,1,0,,,,,
PUDUCHERRY,TOTAL,2020,39,2,8,19,3,16,43,323,33,4,33,2,25,0,9,,,,,
ANDHRA PRADESH,TOTAL,2021,956,112,1188,687,74,259,3789,11831,444,1099,6142,108,5108,2370,7092,,,,,
ARUNACHAL PRADESH,TOTAL,2021,49,3,83,69,7,50,164,745,6,24,107,0,74,10,112,,,,,
ASSAM,TOTAL,2021,1192,95,1733,4770,188,1885,5010,17351,780,3146,6056,198,4499,184,12950,,,,,
BIHAR,TOTAL,2021,2697,133,733,7937,259,2329,3961,37112,6120,315,4789,1000,387,1,2069,,,,,
CHHATTISGARH,TOTAL,2021,1007,42,1093,2604,72,553,4615,8080,904,176,1112,65,1248,238,963,,,,,
GOA,TOTAL,2021,26,2,72,44,1,27,133,565,40,35,72,0,74,20,1,,,,,
GUJARAT,TOTAL,2021,997,114,588,1429,120,552,2906,10143,161,543,2338,11,660,7,2271,,,,,
HARYANA,TOTAL,2021,1112,45,1716,1420,155,692,8389,27011,2253,1440,2067,275,2882,290,5755,,,,,
