STATE/UT,DISTRICT,YEAR,MURDER,CULPABLE HOMICIDE,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,DOWRY DEATHS,ASSAULT ON WOMEN,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,,,,,
D & N HAVELI,TOTAL,2003,11,0,1,7,4,6,41,61,17,8,13,0,4,0,2,,,,,
DAMAN & DIU,TOTAL,2003,6,0,5,1,4,1,41,46,31,8,8,1,3,0,0,,,,,
DELHI,TOTAL,2003,485,65,490,1156,28,441,1898,15544,80,431,2079,130,489,105,1211,,,,,
LAKSHADWEEP,TOTAL,2003,0,0,2,0,0,0,6,8,4,0,0,0,1,0,1,,,,,
PUDUCHERRY,TOTAL,2003,29,0,2,18,2,11,126,567,159,12,32,1,56,27,4,,,,,
ANDHRA PRADESH,TOTAL,2004,2579,163,1016,1526,199,596,8457,23578,2540,898,7928,512,3817,2310,8388,,,,,
ARUNACHAL PRADESH,TOTAL,2004,67,1,42,65,30,45,215,388,65,26,34,0,61,0,4,,,,,
ASSAM,TOTAL,2004,1214,63,1171,1906,360,505,2544,5866,3615,586,865,74,883,11,1945,,,,,
BIHAR,TOTAL,2004,3948,280,1390,3413,1319,2986,3175,11113,9793,1701,2764,1029,704,13,2679,,,,,
CHHATTISGARH,TOTAL,2004,927,25,969,214,106,363,3720,5014,790,101,424,71,1661,131,741,,,,,
GOA,TOTAL,2004,40,5,37,13,5,18,261,503,33,49,61,2,23,15,17,,,,,
GUJARAT,TOTAL,2004,1113,27,339,1133,360,1136,5828,18551,1599,1612,1726,58,757,164,3955,,,,,
HARYANA,TOTAL,2004,733,65,386,423,52,244,2786,6558,699,534,1089,251,403,850,2026,,,,,
HIMACHAL PRADESH,TOTAL,2004,110,12,153,123,1,25,766,643,562,97,174,8,284,16,252,,,,,
JAMMU & KASHMIR,TOTAL,2004,816,29,218,735,28,129,1420,1939,1116,105,414,9,990,264,82,,,,,
JHARKHAND,TOTAL,2004,1488,115,797,468,580,780,1419,4374,2281,333,441,275,411,3,588,,,,,
KARNATAKA,TOTAL,2004,1519,57,291,592,177,1024,6093,16093,6237,423,2759,259,1435,57,1588,,,,,
KERALA,TOTAL,2004,417,473,480,232,129,639,4580,5240,6461,336,3755,31,2260,133,3222,,,,,
MADHYA PRADESH,TOTAL,2004,2379,188,2875,832,147,1526,12308,22586,2479,548,1287,751,6690,804,3436,,,,,
MAHARASHTRA,TOTAL,2004,2696,115,1388,1045,629,2229,14659,43952,5980,1528,5167,314,2831,862,5646,,,,,
MANIPUR,TOTAL,2004,159,3,31,128,2,3,66,244,115,25,142,0,30,0,2,,,,,
MEGHALAYA,TOTAL,2004,124,7,54,54,91,81,142,418,2,25,44,2,34,0,5,,,,,
MIZORAM,TOTAL,2004,35,2,20,15,10,6,250,610,2,30,20,0,66,0,0,,,,,
NAGALAND,TOTAL,2004,70,5,18,23,14,117,70,255,6,11,28,0,3,1,0,,,,,
ODISHA,TOTAL,2004,1066,25,770,526,238,952,2992,5967,1433,271,805,319,1811,170,1192,,,,,
PUNJAB,TOTAL,2004,775,148,390,463,17,86,1766,2587,16,313,2729,113,261,38,801,,,,,
RAJASTHAN,TOTAL,2004,1279,59,1038,2384,58,673,5911,18842,3101,885,8333,379,2825,41,6781,,,,,
SIKKIM,TOTAL,2004,16,3,3,5,0,5,64,73,76,4,22,0,40,0,1,,,,,
TAMIL NADU,TOTAL,2004,1479,26,618,870,72,464,4147,17530,3433,268,2121,225,1861,1081,1437,,,,,
TRIPURA,TOTAL,2004,189,0,160,99,27,46,166,260,148,17,34,20,134,0,302,,,,,
